Time,Pos_x,Pos_y,Pos_z,Rot_x,Rot_y,Rot_z,Rot_w,Wind Speed,Wind Direction
1900-01-01T21:05:25,978.680054,1211.560913,239.096024,-0.175506,0.673723,0.695892,0.176151,2.32,15.0
1900-01-01T21:05:26,942.363220,1211.962036,243.838257,-0.171898,0.673253,0.697308,0.175906,1.99,22.0
1900-01-01T21:05:27,897.654419,1212.725830,248.231094,-0.167908,0.674528,0.696629,0.177559,1.74,19.0
1900-01-01T21:05:28,847.806763,1215.029541,252.768372,-0.164122,0.679663,0.694457,0.169861,1.4,37.0
1900-01-01T21:05:29,804.076904,1218.243286,261.257416,-0.162244,0.683220,0.690737,0.172542,1.86,22.0
1900-01-01T21:05:30,728.965698,1216.794189,284.390228,-0.176634,0.678599,0.687491,0.188839,2.26,33.0
1900-01-01T21:05:31,654.268494,1216.456909,302.335510,-0.186635,0.675608,0.683283,0.204563,3.4,51.0
1900-01-01T21:05:32,611.982300,1203.973389,326.999207,-0.161866,0.674121,0.690825,0.205234,3.71,59.0
1900-01-01T21:05:33,636.486450,1153.772339,324.828369,-0.081362,0.690825,0.708049,0.121684,1.36,67.0
1900-01-01T21:05:34,586.313416,1055.728516,324.142242,-0.091754,0.666913,0.725642,0.142309,1.64,58.0
1900-01-01T21:05:35,433.461517,1067.642212,365.223999,-0.138870,0.652908,0.721864,0.182589,4.07,50.0
1900-01-01T21:05:36,291.032990,1081.335083,392.042694,-0.178114,0.649402,0.708959,0.209595,3.76,65.0
1900-01-01T21:05:37,206.604660,1076.768311,389.955292,-0.171673,0.652166,0.706375,0.215040,2.68,46.0
1900-01-01T21:05:38,107.675186,1020.691040,383.660187,-0.167779,0.648027,0.714527,0.203379,3.65,37.0
1900-01-01T21:05:39,44.850887,1077.336182,401.053619,-0.188801,0.653662,0.698595,0.221461,3.68,30.0
1900-01-01T21:05:40,22.540514,1146.603149,394.728149,-0.177146,0.658335,0.696573,0.223608,2.09,16.0
1900-01-01T21:05:41,51.208084,1207.880249,438.089417,-0.181591,0.665345,0.686909,0.229122,1.06,16.0
1900-01-01T21:05:42,78.878181,1263.254272,459.866180,-0.167982,0.683295,0.677793,0.213276,0.75,41.0
1900-01-01T21:05:43,192.346909,1262.621094,468.246918,-0.123623,0.691823,0.688165,0.180354,1.18,54.0
1900-01-01T21:05:44,277.288757,1215.225220,451.794006,-0.096026,0.698818,0.692394,0.151733,2.11,72.0
1900-01-01T21:05:45,345.111664,1121.145874,460.281982,-0.065375,0.686237,0.707069,0.157667,3.67,63.0
1900-01-01T21:05:46,312.478180,1058.745361,465.324921,-0.083919,0.673476,0.718333,0.152921,3.14,50.0
1900-01-01T21:05:47,174.688461,1067.271729,496.644958,-0.120849,0.662971,0.720178,0.164954,1.23,62.0
1900-01-01T21:05:48,9.185396,1070.036499,498.352936,-0.142089,0.663769,0.709383,0.189732,3.23,65.0
1900-01-01T21:05:49,-147.180954,1069.391846,526.729736,-0.170462,0.655204,0.708356,0.199702,3.89,57.0
1900-01-01T21:05:50,-239.741913,1063.405640,545.253967,-0.175044,0.652654,0.708808,0.202467,2.53,58.0
1900-01-01T21:05:51,-316.748474,1063.558716,566.374207,-0.177768,0.648986,0.706268,0.220001,2.98,73.0
1900-01-01T21:05:52,-370.169037,1038.619629,624.676270,-0.150872,0.641427,0.721137,0.213942,1.6,46.0
1900-01-01T21:05:53,-382.859955,1002.162354,639.669922,-0.130188,0.647726,0.728145,0.182503,3.33,36.0
1900-01-01T21:05:54,-396.997406,1099.784912,663.859558,-0.132292,0.647266,0.729866,0.175619,2.07,44.0
1900-01-01T21:05:55,-369.412994,1182.082764,669.082031,-0.128828,0.677356,0.707045,0.157100,1.44,62.0
1900-01-01T21:05:56,-309.681152,1221.097900,656.846008,-0.077636,0.689921,0.710838,0.112653,0.92,73.0
1900-01-01T21:05:57,-282.861572,1209.527954,648.589600,-0.031170,0.659794,0.750425,0.023738,0.53,107.0
1900-01-01T21:05:58,-237.698532,1200.260620,612.917969,0.104021,0.663523,0.733476,-0.104546,1.34,139.0
1900-01-01T21:05:59,-223.036057,1189.082764,591.361572,0.186246,0.651512,0.702611,-0.217216,3.39,139.0
1900-01-01T21:06:00,-275.810883,1170.600220,570.259521,0.315012,0.612931,0.647654,-0.325003,4.03,138.0
1900-01-01T21:06:01,-341.300812,1125.186890,584.693787,0.345018,0.570292,0.642236,-0.378500,3.52,146.0
1900-01-01T21:06:02,-327.308533,1051.118896,592.911255,0.326515,0.571401,0.671071,-0.341398,2.07,139.0
1900-01-01T21:06:03,-387.903381,1016.302612,616.830627,0.318372,0.567733,0.674342,-0.348685,3.22,137.0
1900-01-01T21:06:04,-544.777588,1056.496216,652.083801,0.311819,0.587582,0.670905,-0.327726,1.7,129.0
1900-01-01T21:06:05,-736.731812,1067.234375,703.344666,0.289740,0.604135,0.682844,-0.291198,3.26,124.0
1900-01-01T21:06:06,-814.341064,1076.195435,762.020813,0.278431,0.603984,0.687399,-0.291826,1.35,133.0
1900-01-01T21:06:07,-821.407410,1186.384644,793.575439,0.284292,0.627723,0.658167,-0.303247,0.8,96.0
